Distance,Start_ID,End_ID,G MAp Time,M HUB Delay,Weekend Advantage,N H Delay,Start Delay,End Delay,Rating Delay,weather Delay,Total Time
989,1,0,15,0,0,0,3,2,0,0,20
575,1,2,8,0,-5,0,4,1,0,10,18
841,1,7,13,0,-5,0,3,3,0,2,16
347,1,3,6,0,-5,0,2,3,0,6,12
2177,1,8,35,0,0,0,2,5,2,0,44
2003,1,5,34,0,0,0,5,2,0,10,51
2144,1,6,35,0,-5,0,1,3,3,2,39
1494,1,4,24,0,-5,0,1,4,0,6,30
1858,1,9,34,0,0,0,4,4,0,0,42
709,2,0,13,0,0,24,2,5,0,10,54
576,2,1,9,0,0,24,3,3,0,2,41
628,2,3,11,0,0,24,4,2,0,6,47
1849,2,4,30,0,0,24,4,4,0,0,62
677,2,5,11,0,-5,24,3,6,0,10,49
907,2,6,15,0,-5,24,2,5,0,2,43
660,2,7,12,0,-5,24,3,3,0,6,43
945,2,8,16,0,-5,24,4,4,0,0,43
2087,2,9,36,0,-5,24,6,5,0,10,76
1340,3,0,22,5,-5,24,3,4,0,2,55
347,3,1,6,0,-5,24,4,3,0,6,38
627,3,2,11,0,-5,24,5,4,0,0,39
1843,3,4,30,0,0,24,3,5,0,10,72
2181,3,5,37,0,0,24,4,3,0,2,70
2159,3,6,37,0,-5,24,5,6,0,6,73
1191,3,7,19,0,-5,24,3,4,3,0,48
2211,3,8,37,-5,0,24,5,5,5,10,81
1670,3,9,30,-5,0,24,6,4,5,2,66
1153,0,1,63,0,0,0,2,2,1,6,74
778,0,2,41,0,0,24,2,1,3,0,71
1266,0,3,25,2,0,24,2,2,2,0,57
488,0,4,34,0,-5,0,3,4,1,10,47
1153,0,5,51,0,-5,0,2,4,0,10,62
1413,0,6,56,0,0,0,5,5,0,0,66
176,0,7,50,0,0,0,2,4,1,0,57
1396,0,8,29,5,0,0,4,3,2,7,50
1957,0,9,28,4,-2,24,1,1,2,10,68
1133,1,0,51,0,0,0,1,2,0,8,62
628,1,2,13,0,-5,24,2,3,0,0,37
613,1,3,29,0,0,0,3,2,1,0,35
1634,1,4,33,0,0,0,1,3,3,10,50
2399,1,5,39,0,0,0,1,1,2,8,51
2424,1,6,36,0,0,0,2,4,1,0,43
962,1,7,68,0,-2,24,3,5,3,8,109
2422,1,8,36,0,0,0,5,2,0,0,43
1932,1,9,36,0,-3,24,1,1,1,0,60
730,2,0,47,0,0,0,2,1,0,8,58
628,2,1,57,0,0,0,3,5,0,0,65
715,2,3,41,0,0,0,4,4,0,10,59
1408,2,4,25,0,0,0,1,3,0,3,32
1743,2,5,30,0,0,0,2,1,1,10,44
1731,2,6,30,0,-4,0,2,2,2,2,34
605,2,7,12,0,-5,0,4,3,0,1,15
1719,2,8,29,0,0,0,1,2,3,0,35
1738,2,9,27,0,0,24,1,1,2,0,55
1266,3,0,26,3,0,0,2,1,1,0,33
360,3,1,30,0,0,0,2,2,1,1,36
715,3,2,34,0,0,0,3,4,1,8,50
1762,3,4,34,0,0,0,4,2,2,0,42
2269,3,5,39,0,-5,0,5,3,0,8,50
2216,3,6,34,0,0,24,1,4,3,0,66
1095,3,7,61,0,0,24,4,2,4,0,95
2213,3,8,34,4,0,24,5,5,0,0,72
1671,3,9,29,4,0,0,2,3,0,0,38
490,4,0,33,0,0,0,1,5,0,8,47
1630,4,1,30,0,0,0,5,4,0,0,39
1545,4,2,26,0,0,0,3,3,1,10,43
2055,4,3,36,0,0,0,2,2,2,10,52
629,4,5,58,0,0,0,1,4,3,0,66
910,4,6,69,0,0,0,1,1,0,8,79
638,4,7,23,0,0,24,2,3,1,8,61
942,4,8,29,0,-4,0,2,2,2,0,31
2101,4,9,36,0,-5,0,2,2,2,0,37
1154,5,0,43,0,-5,0,1,3,4,0,46
2267,5,1,38,0,0,0,1,3,3,0,45
1762,5,2,31,0,0,0,1,4,2,0,38
2399,5,3,38,0,0,24,2,5,1,1,71
631,5,4,40,0,0,0,2,1,0,8,51
1340,5,6,32,0,0,0,4,3,1,0,40
313,5,7,53,0,-2,24,5,4,0,5,89
1506,5,8,29,0,0,0,2,3,1,0,35
1410,6,0,30,0,0,0,1,1,0,5,37
2435,6,1,37,0,0,0,2,2,1,0,42
1712,6,2,24,0,0,0,3,3,2,10,42
2222,6,3,36,0,-4,0,4,4,0,8,48
845,6,4,40,0,0,24,5,2,1,0,72
283,6,5,42,0,0,0,2,3,1,0,48
1588,6,7,24,0,0,0,3,2,2,0,31
41.2,6,8,12,0,0,24,4,3,0,0,43
1493,6,9,29,0,0,0,1,2,4,0,36
178,7,0,34,0,-3,0,5,3,3,0,42
965,7,1,48,0,0,0,2,2,1,2,55
601,7,2,67,0,0,0,4,3,3,7,84
1093,7,3,26,0,0,0,3,3,2,9,43
675,7,4,22,0,-5,0,4,3,1,0,25
1380,7,5,79,0,-3,24,5,4,2,0,111
1634,7,6,27,0,-2,0,2,3,4,0,34
1624,7,8,27,0,0,0,3,3,3,0,36
2033,7,9,35,0,0,24,4,3,1,0,67
1400,8,0,25,5,0,0,3,3,0,0,36
2423,8,1,36,0,0,0,4,1,1,0,42
1700,8,2,74,0,0,0,1,2,2,0,79
2210,8,3,35,4,0,24,3,5,1,0,72
880,8,4,54,0,0,0,4,4,2,6,70
319,8,5,61,0,0,24,5,2,1,10,103
53,8,6,27,0,0,24,3,3,0,0,57
1578,8,7,24,0,0,0,4,3,1,0,32
1481,8,9,57,4,0,0,3,2,0,0,66
1960,9,0,32,3,-4,0,4,2,0,7,44
1932,9,1,35,0,0,24,3,4,2,0,68
1719,9,2,29,0,0,0,2,3,1,8,43
1646,9,3,30,4,0,0,5,2,0,0,41
2218,9,4,36,0,0,0,2,3,2,0,43
1635,9,5,24,0,-3,0,3,2,1,0,27
1493,9,6,48,0,0,0,4,3,3,0,58
2033,9,7,37,0,0,0,2,2,0,0,41
1481,9,8,76,5,0,0,4,3,4,0,92
1960,9,0,32,0,0,0,3,4,5,3,47
880,8,4,54,0,-6,0,4,4,2,6,64
1380,7,5,79,0,-5,24,2,3,6,0,109
1634,7,6,27,0,-5,0,2,2,3,0,29
1624,7,8,27,0,0,0,1,6,2,0,36
2033,7,9,35,0,0,24,4,7,2,0,72
2422,1,8,36,0,-4,0,4,3,0,0,39
1932,1,9,36,0,-3,24,2,1,4,0,64
730,2,0,47,0,0,0,2,3,0,9,61
1153,0,5,20,0,0,0,2,2,0,6,30
984,0,1,17,0,0,24,2,1,2,0,46
710,0,2,14,0,0,0,2,2,0,10,28
1338,0,3,22,5,-5,24,3,4,0,2,55
531,0,4,10,0,-5,0,2,4,0,6,17
1383,0,6,13,0,0,24,3,3,0,0,43
150,0,7,3,0,0,0,2,3,0,10,18
1421,0,8,24,4,0,24,4,4,0,2,62
2050,0,9,39,5,0,0,4,5,0,6,59
989,1,0,15,0,0,24,3,2,0,0,44
575,1,2,8,0,-5,0,4,1,0,10,18
841,1,7,13,0,-5,24,3,3,0,2,40
347,1,3,6,0,-5,0,2,3,0,6,12
2177,1,8,35,0,0,24,2,5,2,0,68
2003,1,5,34,0,0,0,5,2,0,10,51
2144,1,6,35,0,-5,24,1,3,3,2,63
1494,1,4,24,0,-5,0,1,4,0,6,30
1858,1,9,34,0,0,24,4,4,0,0,66
709,2,0,13,0,0,0,2,5,0,10,30
576,2,1,9,0,0,24,3,3,0,2,41
628,2,3,11,0,0,0,4,2,0,6,23
1849,2,4,30,0,0,24,4,4,0,0,62
677,2,5,11,0,-5,0,3,6,0,10,25
907,2,6,15,0,-5,24,2,5,0,2,43
660,2,7,12,0,-5,0,3,3,0,6,19
945,2,8,16,0,-5,24,4,4,0,0,43
2087,2,9,36,0,-5,0,6,5,0,10,52
1340,3,0,22,5,-5,24,3,4,0,2,55
347,3,1,6,0,-5,0,4,3,0,6,14
627,3,2,11,0,-5,24,5,4,0,0,39
1843,3,4,30,0,0,0,3,5,0,10,48
2181,3,5,37,0,0,24,4,3,0,2,70
2159,3,6,37,0,-5,0,5,6,0,6,49
1191,3,7,19,0,-5,24,3,4,3,0,48
2211,3,8,37,-5,0,0,5,5,5,10,57
1670,3,9,30,-5,0,24,6,4,5,2,66
1154,0,5,20,0,0,0,2,2,0,6,30
984,0,1,17,0,0,24,2,1,2,0,46
710,0,2,14,0,0,0,2,2,0,10,28
1338,0,3,22,5,-5,24,3,4,0,2,55
531,0,4,10,0,-5,0,2,4,0,6,17
1383,0,6,13,0,0,24,3,3,0,0,43
150,0,7,3,0,0,0,2,3,0,10,18
1421,0,8,24,4,0,24,4,4,0,2,62
2050,0,9,39,5,0,0,4,5,0,6,59
989,1,0,15,0,0,24,3,2,0,0,44
575,1,2,8,0,-5,0,4,1,0,10,18
841,1,7,13,0,-5,24,3,3,0,2,40
347,1,3,6,0,-5,0,2,3,0,6,12
2177,1,8,35,0,0,24,2,5,2,0,68
2003,1,5,34,0,0,0,5,2,0,10,51
2144,1,6,35,0,-5,24,1,3,3,2,63
1494,1,4,24,0,-5,0,1,4,0,6,30
1858,1,9,34,0,0,24,4,4,0,0,66
709,2,0,13,0,0,0,2,5,0,10,30
576,2,1,9,0,0,24,3,3,0,2,41
628,2,3,11,0,0,0,4,2,0,6,23
1849,2,4,30,0,0,24,4,4,0,0,62
677,2,5,11,0,-5,0,3,6,0,10,25
907,2,6,15,0,-5,24,2,5,0,2,43
660,2,7,12,0,-5,0,3,3,0,6,19
945,2,8,16,0,-5,24,4,4,0,0,43
2087,2,9,36,0,-5,0,6,5,0,10,52
1340,3,0,22,5,-5,24,3,4,0,2,55
347,3,1,6,0,-5,0,4,3,0,6,14
627,3,2,11,0,-5,24,5,4,0,0,39
1843,3,4,30,0,0,0,3,5,0,10,48
2181,3,5,37,0,0,24,4,3,0,2,70
2159,3,6,37,0,-5,0,5,6,0,6,49
1191,3,7,19,0,-5,24,3,4,3,0,48
2211,3,8,37,-5,0,0,5,5,5,10,57
1670,3,9,30,-5,0,24,6,4,5,2,66
1153,0,1,63,0,0,0,2,2,1,6,74
778,0,2,41,0,0,24,2,1,3,0,71
1266,0,3,25,2,0,0,2,2,2,10,43
488,0,4,34,0,-5,24,3,4,1,2,63
1153,0,5,51,0,-5,0,2,4,0,6,58
1413,0,6,56,0,0,24,5,5,0,0,90
176,0,7,50,0,0,0,2,4,1,10,67
1396,0,8,29,5,0,24,4,3,2,2,69
1957,0,9,28,4,-2,0,1,1,2,6,40
1133,1,0,51,0,0,24,1,2,0,0,78
628,1,2,13,0,-5,0,2,3,0,10,23
613,1,3,29,0,0,24,3,2,1,2,61
1634,1,4,33,0,0,0,1,3,3,6,46
2399,1,5,39,0,0,24,1,1,2,0,67
2424,1,6,36,0,0,0,2,4,1,10,53
962,1,7,68,0,-2,24,3,5,3,2,103
2422,1,8,36,0,0,0,5,2,0,6,49
1932,1,9,36,0,-3,24,1,1,1,0,60
730,2,0,47,0,0,0,2,1,0,10,60
628,2,1,57,0,0,24,3,5,0,2,91
715,2,3,41,0,0,0,4,4,0,6,55
1408,2,4,25,0,0,24,1,3,0,0,53
1743,2,5,30,0,0,0,2,1,1,10,44
1731,2,6,30,0,-4,24,2,2,2,2,58
605,2,7,12,0,-5,0,4,3,0,6,20
1719,2,8,29,0,0,24,1,2,3,0,59
1738,2,9,27,0,0,0,1,1,2,10,41
1266,3,0,26,3,0,24,2,1,1,2,59
360,3,1,30,0,0,0,2,2,1,6,41
715,3,2,34,0,0,24,3,4,1,0,66
1762,3,4,34,0,0,0,4,2,2,10,52
2269,3,5,39,0,-5,24,5,3,0,2,68
2216,3,6,34,0,0,0,1,4,3,6,48
1095,3,7,61,0,0,24,4,2,4,0,95
2213,3,8,34,4,0,0,5,5,0,10,58
1671,3,9,29,4,0,24,2,3,0,2,64
490,4,0,33,0,0,0,1,5,0,6,45
1630,4,1,30,0,0,24,5,4,0,0,63
1545,4,2,26,0,0,0,3,3,1,10,43
2055,4,3,36,0,0,24,2,2,2,2,68
629,4,5,58,0,0,0,1,4,3,6,72
910,4,6,69,0,0,24,1,1,0,0,95
638,4,7,23,0,0,0,2,3,1,10,39
942,4,8,29,0,-4,24,2,2,2,2,57
2101,4,9,36,0,-5,0,2,2,2,6,43
1154,5,0,43,0,-5,24,1,3,4,0,70
2267,5,1,38,0,0,0,1,3,3,10,55
1762,5,2,31,0,0,24,1,4,2,2,64
2399,5,3,38,0,0,0,2,5,1,6,52
631,5,4,40,0,0,24,2,1,0,0,67
1340,5,6,32,0,0,0,4,3,1,10,50
313,5,7,53,0,-2,24,5,4,0,2,86
1506,5,8,29,0,0,0,2,3,1,6,41
1410,6,0,30,0,0,24,1,1,0,0,56
2435,6,1,37,0,0,0,2,2,1,10,52
1712,6,2,24,0,0,24,3,3,2,2,58
2222,6,3,36,0,-4,0,4,4,0,6,46
845,6,4,40,0,0,24,5,2,1,0,72
283,6,5,42,0,0,0,2,3,1,10,58
1588,6,7,24,0,0,24,3,2,2,2,57
41.2,6,8,12,0,0,0,4,3,0,6,25
1493,6,9,29,0,0,24,1,2,4,0,60
178,7,0,34,0,-3,0,5,3,3,10,52
965,7,1,48,0,0,24,2,2,1,2,79
601,7,2,67,0,0,0,4,3,3,6,83
1093,7,3,26,0,0,24,3,3,2,0,58
675,7,4,22,0,-5,0,4,3,1,10,35
1380,7,5,79,0,-3,24,5,4,2,2,113
1634,7,6,27,0,-2,0,2,3,4,6,40
1624,7,8,27,0,0,24,3,3,3,0,60
2033,7,9,35,0,0,0,4,3,1,10,53
1400,8,0,25,5,0,24,3,3,0,2,62
2423,8,1,36,0,0,0,4,1,1,6,48
1700,8,2,74,0,0,24,1,2,2,0,103
2210,8,3,35,4,0,0,3,5,1,10,58
880,8,4,54,0,0,24,4,4,2,2,90
319,8,5,61,0,0,0,5,2,1,6,75
53,8,6,27,0,0,24,3,3,0,0,57
1578,8,7,24,0,0,0,4,3,1,10,42
1481,8,9,57,4,0,24,3,2,0,2,92
1960,9,0,32,3,-4,0,4,2,0,6,43
1932,9,1,35,0,0,24,3,4,2,0,68
1719,9,2,29,0,0,0,2,3,1,10,45
1646,9,3,30,4,0,24,5,2,0,2,67
2218,9,4,36,0,0,0,2,3,2,6,49
1635,9,5,24,0,-3,24,3,2,1,0,51
1493,9,6,48,0,0,0,4,3,3,10,68
2033,9,7,37,0,0,24,2,2,0,2,67
1481,9,8,76,5,0,0,4,3,4,6,98
1960,9,0,32,0,0,24,3,4,5,0,68
880,8,4,54,0,-6,0,4,4,2,10,68
1380,7,5,79,0,-5,24,2,3,6,2,111
1634,7,6,27,0,-5,0,2,2,3,6,35
1624,7,8,27,0,0,24,1,6,2,0,60
2033,7,9,35,0,0,0,4,7,2,10,58
2422,1,8,36,0,-4,24,4,3,0,2,65
1932,1,9,36,0,-3,0,2,1,4,6,46
730,2,0,47,0,0,24,2,3,0,0,76
1153,0,5,20,0,0,0,6,4,0,2,32
984,0,1,17,0,-5,24,6,4,2,2,50
710,0,2,14,0,-4,24,5,6,0,10,55
1338,0,3,22,5,0,0,5,3,0,10,45
531,0,4,10,0,0,0,4,3,0,0,17
1383,0,6,13,0,0,0,4,4,0,0,21
150,0,7,3,0,-6,0,3,4,0,6,10
1421,0,8,24,4,0,0,3,5,0,6,42
2050,0,9,39,5,-4,24,3,6,0,2,75
989,1,0,15,0,0,0,3,6,0,2,26
575,1,2,8,0,-5,0,2,5,0,10,20
841,1,7,13,0,-4,24,2,5,0,10,50
347,1,3,6,0,0,0,6,3,0,0,15
2177,1,8,35,0,0,24,6,3,2,0,70
2003,1,5,34,0,0,0,5,2,0,6,47
2144,1,6,35,0,-6,24,5,2,3,6,69
1494,1,4,24,0,0,24,4,3,0,2,57
1858,1,9,34,0,-4,24,4,4,0,2,64
709,2,0,13,0,0,0,3,5,0,10,31
576,2,1,9,0,-5,0,3,5,0,10,22
628,2,3,11,0,-4,0,3,4,0,0,14
1849,2,4,30,0,0,0,3,4,0,0,37
677,2,5,11,0,0,24,2,6,0,6,49
907,2,6,15,0,0,24,2,3,0,6,50
660,2,7,12,0,-6,24,6,3,0,2,41
945,2,8,16,0,0,24,6,4,0,2,52
2087,2,9,36,0,-4,24,5,4,0,10,75
1340,3,0,22,5,0,0,5,5,0,10,47
347,3,1,6,0,-5,0,4,6,0,0,11
627,3,2,11,0,-4,24,4,6,0,0,41
1843,3,4,30,0,0,0,3,5,0,6,44
2181,3,5,37,0,0,24,3,5,0,6,75
2159,3,6,37,0,0,24,3,3,0,2,69
1191,3,7,19,0,-6,24,3,3,3,2,48
2211,3,8,37,-5,0,0,2,2,5,10,51
1670,3,9,30,-5,-4,0,2,2,5,10,40
1154,0,5,20,0,0,0,6,3,0,0,29
984,0,1,17,0,-5,0,6,4,2,0,24
710,0,2,14,0,-4,0,5,5,0,6,26
1338,0,3,22,5,0,0,5,5,0,6,43
531,0,4,10,0,0,0,4,4,0,2,20
1383,0,6,13,0,0,0,4,4,0,2,23
150,0,7,3,0,-6,0,3,6,0,10,16
1421,0,8,24,4,0,0,3,3,0,10,44
2050,0,9,39,5,-4,0,3,3,0,0,46
989,1,0,15,0,0,0,3,4,0,0,22
575,1,2,8,0,-5,0,2,4,0,6,15
841,1,7,13,0,-4,0,2,5,0,6,22
347,1,3,6,0,0,0,6,6,0,2,20
2177,1,8,35,0,0,0,6,6,2,2,51
2003,1,5,34,0,0,0,5,5,0,10,54
2144,1,6,35,0,-6,0,5,5,3,10,52
1494,1,4,24,0,0,0,4,3,0,0,31
1858,1,9,34,0,-4,0,4,3,0,0,37
709,2,0,13,0,0,24,3,2,0,6,48
576,2,1,9,0,-5,24,3,2,0,6,39
628,2,3,11,0,-4,24,3,3,0,2,39
1849,2,4,30,0,0,24,3,4,0,2,63
677,2,5,11,0,0,24,2,5,0,10,52
907,2,6,15,0,0,24,2,5,0,10,56
660,2,7,12,0,-6,24,6,4,0,0,40
945,2,8,16,0,0,24,6,4,0,0,50
2087,2,9,36,0,-4,24,5,6,0,6,73
1340,3,0,22,5,0,24,5,3,0,6,65
347,3,1,6,0,-5,24,4,3,0,2,34
627,3,2,11,0,-4,24,4,4,0,2,41
1843,3,4,30,0,0,24,3,4,0,10,71
2181,3,5,37,0,0,24,3,5,0,10,79
2159,3,6,37,0,0,24,3,6,0,0,70
1191,3,7,19,0,-6,24,3,6,3,0,49
2211,3,8,37,-5,0,24,2,5,5,6,74
1670,3,9,30,-5,-4,24,2,5,5,6,63
1153,0,1,63,0,0,0,6,3,1,2,75
778,0,2,41,0,-5,24,6,3,3,2,74
1266,0,3,25,2,-4,24,5,2,2,10,66
488,0,4,34,0,0,0,5,2,1,10,52
1153,0,5,51,0,0,0,4,3,0,0,58
1413,0,6,56,0,0,0,4,4,0,0,64
176,0,7,50,0,-6,0,3,5,1,6,59
1396,0,8,29,5,0,0,3,5,2,6,50
1957,0,9,28,4,-4,24,3,4,2,2,63
1133,1,0,51,0,0,0,3,4,0,2,60
628,1,2,13,0,-5,24,2,6,0,10,50
613,1,3,29,0,-4,0,2,3,1,10,41
1634,1,4,33,0,0,0,6,3,3,0,45
2399,1,5,39,0,0,0,6,4,2,0,51
2424,1,6,36,0,0,0,5,4,1,6,52
962,1,7,68,0,-6,24,5,5,3,6,105
2422,1,8,36,0,0,0,4,6,0,2,48
1932,1,9,36,0,-4,24,4,6,1,2,69
730,2,0,47,0,0,0,3,5,0,10,65
628,2,1,57,0,-5,0,3,5,0,10,70
715,2,3,41,0,-4,0,3,3,0,0,43
1408,2,4,25,0,0,0,3,3,0,0,31
1743,2,5,30,0,0,0,2,2,1,6,41
1731,2,6,30,0,0,0,2,2,2,6,42
605,2,7,12,0,-6,0,6,3,0,2,17
1719,2,8,29,0,0,0,6,4,3,2,44
1738,2,9,27,0,-4,24,5,5,2,10,69
1266,3,0,26,3,0,0,5,5,1,10,50
360,3,1,30,0,-5,0,4,4,1,0,34
715,3,2,34,0,-4,0,4,4,1,0,39
1762,3,4,34,0,0,0,3,6,2,6,51
2269,3,5,39,0,0,0,3,3,0,6,51
2216,3,6,34,0,0,24,3,3,3,2,69
1095,3,7,61,0,-6,24,3,4,4,2,92
2213,3,8,34,4,0,24,2,4,0,10,78
1671,3,9,29,4,-4,0,2,5,0,10,46
490,4,0,33,0,0,0,6,6,0,0,45
1630,4,1,30,0,-5,0,6,6,0,0,37
1545,4,2,26,0,-4,0,5,5,1,6,39
2055,4,3,36,0,0,0,5,5,2,6,54
629,4,5,58,0,0,0,4,3,3,2,70
910,4,6,69,0,0,0,4,3,0,2,78
638,4,7,23,0,-6,24,3,2,1,10,57
942,4,8,29,0,0,0,3,2,2,10,46
2101,4,9,36,0,-4,0,3,3,2,0,40
1154,5,0,43,0,0,0,3,4,4,0,54
2267,5,1,38,0,-5,0,2,5,3,6,49
1762,5,2,31,0,-4,0,2,5,2,6,42
2399,5,3,38,0,0,24,6,4,1,2,75
631,5,4,40,0,0,0,6,4,0,2,52
1340,5,6,32,0,0,0,5,6,1,10,54
313,5,7,53,0,-6,24,5,3,0,10,89
1506,5,8,29,0,0,0,4,3,1,0,37
1410,6,0,30,0,-4,0,4,4,0,0,34
2435,6,1,37,0,0,0,3,4,1,6,51
1712,6,2,24,0,-5,0,3,5,2,6,35
2222,6,3,36,0,-4,0,3,6,0,2,43
845,6,4,40,0,0,24,3,6,1,2,76
283,6,5,42,0,0,0,2,5,1,10,60
1588,6,7,24,0,0,0,2,5,2,10,43
41.2,6,8,12,0,-6,24,6,3,0,0,39
1493,6,9,29,0,0,0,6,3,4,0,42
178,7,0,34,0,-4,0,5,2,3,6,46
965,7,1,48,0,0,0,5,2,1,6,62
601,7,2,67,0,-5,0,4,3,3,2,74
1093,7,3,26,0,-4,0,4,4,2,2,34
675,7,4,22,0,0,0,3,5,1,10,41
1380,7,5,79,0,0,24,3,5,2,10,123
1634,7,6,27,0,0,0,3,4,4,0,38
1624,7,8,27,0,-6,0,3,4,3,0,31
2033,7,9,35,0,0,24,2,6,1,6,74
1400,8,0,25,5,-4,0,2,3,0,6,37
2423,8,1,36,0,0,0,6,3,1,2,48
1700,8,2,74,0,-5,0,6,4,2,2,83
2210,8,3,35,4,-4,24,5,4,1,10,79
880,8,4,54,0,0,0,5,5,2,10,76
319,8,5,61,0,0,24,4,6,1,0,96
53,8,6,27,0,0,24,4,6,0,0,61
1578,8,7,24,0,-6,0,3,5,1,6,33
1481,8,9,57,4,0,0,3,5,0,6,75
1960,9,0,32,3,-4,0,3,3,0,2,39
1932,9,1,35,0,0,24,3,3,2,2,69
1719,9,2,29,0,-5,0,2,2,1,10,39
1646,9,3,30,4,-4,0,2,2,0,10,44
2218,9,4,36,0,0,0,6,3,2,0,47
1635,9,5,24,0,0,0,6,4,1,0,35
1493,9,6,48,0,0,0,5,5,3,6,67
2033,9,7,37,0,-6,0,5,5,0,6,47
1481,9,8,76,5,0,0,4,4,4,2,95
1960,9,0,32,0,-4,0,4,4,5,2,43
880,8,4,54,0,0,0,3,6,2,10,75
1380,7,5,79,0,-5,24,3,3,6,10,120
1634,7,6,27,0,-4,0,3,3,3,0,32
1624,7,8,27,0,0,0,3,4,2,0,36
2033,7,9,35,0,0,24,2,4,2,6,73
2422,1,8,36,0,0,0,2,5,0,6,49
1932,1,9,36,0,-6,24,6,6,4,2,72
730,2,0,47,0,0,0,6,6,0,2,61
1153,0,5,20,0,-4,0,5,5,0,10,36
984,0,1,17,0,0,24,5,5,2,10,63
710,0,2,14,0,-5,0,4,3,0,0,16
1338,0,3,22,5,-4,24,4,3,0,0,54
531,0,4,10,0,0,0,3,2,0,6,21
1383,0,6,13,0,0,24,3,2,0,6,48
150,0,7,3,0,0,0,3,3,0,2,11
1421,0,8,24,4,-6,24,3,4,0,2,55
2050,0,9,39,5,0,0,2,5,0,10,61
989,1,0,15,0,-4,24,2,5,0,10,52
575,1,2,8,0,0,0,6,4,0,0,18
841,1,7,13,0,-5,24,6,4,0,0,42
347,1,3,6,0,-4,0,5,6,0,6,19
2177,1,8,35,0,0,24,5,3,2,6,75
2003,1,5,34,0,0,0,4,3,0,2,43
2144,1,6,35,0,0,24,4,4,3,2,72
1494,1,4,24,0,-6,0,3,4,0,10,35
1858,1,9,34,0,0,24,3,5,0,10,76
709,2,0,13,0,-4,0,3,6,0,0,18
576,2,1,9,0,0,24,3,6,0,0,42
628,2,3,11,0,-5,0,2,5,0,6,19
1849,2,4,30,0,-4,24,2,5,0,6,63
677,2,5,11,0,0,0,6,3,0,2,22
907,2,6,15,0,0,24,6,3,0,2,50
660,2,7,12,0,0,0,5,2,0,10,29
945,2,8,16,0,-6,24,5,2,0,10,51
2087,2,9,36,0,0,0,4,3,0,0,43
1340,3,0,22,5,-4,24,4,4,0,0,55
347,3,1,6,0,0,0,3,5,0,6,20
627,3,2,11,0,-5,24,3,5,0,6,44
1843,3,4,30,0,-4,0,3,4,0,2,35
2181,3,5,37,0,0,24,3,4,0,2,70
2159,3,6,37,0,0,0,2,6,0,10,55
1191,3,7,19,0,0,24,2,3,3,10,61
2211,3,8,37,-5,-6,0,6,3,5,0,40
1670,3,9,30,-5,0,24,6,4,5,0,64
1154,0,5,20,0,-4,0,5,4,0,6,31
984,0,1,17,0,0,24,5,5,2,6,59
710,0,2,14,0,-5,0,4,6,0,2,21
1338,0,3,22,5,-4,24,4,6,0,2,59
531,0,4,10,0,0,0,3,5,0,10,28
1383,0,6,13,0,0,24,3,5,0,10,55
150,0,7,3,0,0,0,3,3,0,0,9
